count,group,quote,word
1.0,baseline,quote_2015_804,open
1.0,baseline,quote_2015_804,letter
1.0,baseline,quote_2015_804,taylor
1.0,baseline,quote_2015_804,swift
1.0,baseline,quote_2015_804,inspired
1.0,baseline,quote_2015_804,apple
1.0,baseline,quote_2015_804,end
1.0,baseline,quote_2015_804,policy
1.0,baseline,quote_2015_804,paying
1.0,baseline,quote_2015_804,artists
1.0,baseline,quote_2015_804,users
1.0,baseline,quote_2015_804,...
1.0,baseline,quote_2015_804,-
1.0,baseline,quote_2015_804,kevin
1.0,baseline,quote_2015_804,mazur
2.0,baseline,quote_2015_804,/
1.0,baseline,quote_2015_804,bma2015
1.0,baseline,quote_2015_804,gettyimages
1.0,baseline,quote_2015_804,.
1.0,baseline,quote_2015_804,com
1.0,baseline,quote_2015_2213,wanted
1.0,baseline,quote_2015_2213,18
2.0,baseline,quote_2015_2213,.
1.0,baseline,quote_2015_2213,going
1.0,baseline,quote_2015_2213,play
1.0,baseline,quote_2015_2213,fourth
1.0,baseline,quote_2015_2213,quarter
1.0,baseline,quote_2015_2213,little
1.0,baseline,quote_2015_2213,bit
1.0,baseline,quote_2015_2507,want
1.0,baseline,quote_2015_2507,engineering
1.0,baseline,quote_2015_2507,studies
1.0,baseline,quote_2015_2507,allowed
1.0,baseline,quote_2015_2507,actually
1.0,baseline,quote_2015_2507,turn
1.0,baseline,quote_2015_2507,pipeline
2.0,baseline,quote_2015_2507,.
1.0,baseline,quote_2015_2507,neb
1.0,baseline,quote_2015_2507,concerned
1.0,baseline,quote_2015_2507,things
1.0,baseline,quote_2015_2507,","
1.0,baseline,quote_2015_2507,ask
1.0,baseline,quote_2015_2507,fact
1.0,baseline,quote_2015_2726,irresponsible
1.0,baseline,quote_2015_2726,option
1.0,baseline,quote_2015_2726,","
1.0,baseline,quote_2015_3621,?
1.0,baseline,quote_2015_3811,helped
1.0,baseline,quote_2015_3811,motivate
1.0,baseline,quote_2015_3811,success
1.0,baseline,quote_2015_3811,work
1.0,baseline,quote_2015_3811,.
1.0,baseline,quote_2015_4275,claimed
1.0,baseline,quote_2015_4275,savings
2.0,baseline,quote_2015_4275,project
1.0,baseline,quote_2015_4275,new
1.0,baseline,quote_2015_4275,revenue
1.0,baseline,quote_2015_4275,fund
1.0,baseline,quote_2015_4275,.
1.0,baseline,quote_2015_4275,going
1.0,baseline,quote_2015_4275,case
1.0,baseline,quote_2015_4275,","
1.0,baseline,quote_2015_5375,got
1.0,baseline,quote_2015_5375,connections
1.0,baseline,quote_2015_5375,haverhill
1.0,baseline,quote_2015_5375,play
1.0,baseline,quote_2015_5375,","
1.0,baseline,quote_2015_6026,think
1.0,baseline,quote_2015_6026,defensively
1.0,baseline,quote_2015_6026,succeed
1.0,baseline,quote_2015_6026,beginning
1.0,baseline,quote_2015_6026,","
1.0,baseline,quote_2015_8242,nice
1.0,baseline,quote_2015_8242,.
2.0,baseline,quote_2015_8456,kind
1.0,baseline,quote_2015_8456,caught
1.0,baseline,quote_2015_8456,surprise
1.0,baseline,quote_2015_8456,.
1.0,baseline,quote_2015_8456,got
1.0,baseline,quote_2015_8456,bumped
4.0,baseline,quote_2015_8456,","
2.0,baseline,quote_2015_8456,looked
1.0,baseline,quote_2015_8456,curious
1.0,baseline,quote_2015_8456,purpose
1.0,baseline,quote_2015_9636,outstanding
1.0,baseline,quote_2015_9636,career
3.0,baseline,quote_2015_9636,","
1.0,baseline,quote_2015_9636,enjoyed
1.0,baseline,quote_2015_9636,minute
1.0,baseline,quote_2015_9636,end
1.0,baseline,quote_2015_9636,decision
1.0,baseline,quote_2015_9636,hard
1.0,baseline,quote_2015_12140,sarath
1.0,baseline,quote_2015_12140,sir
1.0,baseline,quote_2015_12140,meet
1.0,baseline,quote_2015_12140,superstar
1.0,baseline,quote_2015_12140,speak
1.0,baseline,quote_2015_12140,issue
1.0,baseline,quote_2015_12140,monday
1.0,baseline,quote_2015_12140,.
1.0,baseline,quote_2015_13278,canada
1.0,baseline,quote_2015_13278,needs
2.0,baseline,quote_2015_13278,-
1.0,baseline,quote_2015_13278,engage
1.0,baseline,quote_2015_13278,robust
1.0,baseline,quote_2015_13278,helpful
1.0,baseline,quote_2015_13278,member
2.0,baseline,quote_2015_13278,international
1.0,baseline,quote_2015_13278,community
2.0,baseline,quote_2015_13278,.
1.0,baseline,quote_2015_13278,turn
1.0,baseline,quote_2015_13278,engaging
1.0,baseline,quote_2015_13278,strong
1.0,baseline,quote_2015_13278,partner
1.0,baseline,quote_2015_13278,efforts
1.0,baseline,quote_2015_13278,hold
1.0,baseline,quote_2015_13278,bullies
1.0,baseline,quote_2015_13278,like
1.0,baseline,quote_2015_13278,vladimir
1.0,baseline,quote_2015_13278,putin
1.0,baseline,quote_2015_13278,account
1.0,baseline,quote_2015_15835,yes
5.0,baseline,quote_2015_15835,","
2.0,baseline,quote_2015_15835,intolerant
1.0,baseline,quote_2015_15835,.
1.0,baseline,quote_2015_15835,corruption
1.0,baseline,quote_2015_15835,unclean
1.0,baseline,quote_2015_15835,surroundings
1.0,baseline,quote_2015_15835,terrorism
1.0,baseline,quote_2015_15835,violence
1.0,baseline,quote_2015_15835,women
1.0,baseline,quote_2015_15835,issues
1.0,baseline,quote_2015_18153,department
1.0,baseline,quote_2015_18153,.
1.0,baseline,quote_2015_20719,cayetano
1.0,baseline,quote_2015_20719,reconcile
1.0,baseline,quote_2015_20719,actual
1.0,baseline,quote_2015_20719,verified
1.0,baseline,quote_2015_20719,audit
1.0,baseline,quote_2015_20719,findings
1.0,baseline,quote_2015_20719,tv
1.0,baseline,quote_2015_20719,ad
1.0,baseline,quote_2015_20719,message
1.0,baseline,quote_2015_20719,?
1.0,baseline,quote_2015_20719,false
1.0,baseline,quote_2015_20719,advertising
1.0,baseline,quote_2015_20719,.
1.0,baseline,quote_2015_20719,niloloko
1.0,baseline,quote_2015_20719,nya
1.0,baseline,quote_2015_20719,ang
1.0,baseline,quote_2015_20719,taumbayan
1.0,baseline,quote_2015_20719,gaya
1.0,baseline,quote_2015_20719,ng
1.0,baseline,quote_2015_20719,panloloko
1.0,baseline,quote_2015_20719,na
1.0,baseline,quote_2015_20719,ginagawa
1.0,baseline,quote_2015_20719,nila
3.0,baseline,quote_2015_20719,sa
1.0,baseline,quote_2015_20719,senado
1.0,baseline,quote_2015_20719,kanilang
1.0,baseline,quote_2015_20719,mga
1.0,baseline,quote_2015_20719,kasinungalinan
1.0,baseline,quote_2015_20719,laban
1.0,baseline,quote_2015_20719,bise
1.0,baseline,quote_2015_20719,presidente
1.0,baseline,quote_2015_20719,","
1.0,baseline,quote_2015_22883,person
1.0,baseline,quote_2015_22883,unsuited
1.0,baseline,quote_2015_22883,actor
1.0,baseline,quote_2015_22883,","
1.0,baseline,quote_2015_23660,gales
1.0,baseline,quote_2015_23660,preferred
1.0,baseline,quote_2015_23660,blues
1.0,baseline,quote_2015_23660,rocks
2.0,baseline,quote_2015_26886,want
2.0,baseline,quote_2015_26886,forgive
1.0,baseline,quote_2015_26886,kanye
2.0,baseline,quote_2015_26886,said
3.0,baseline,quote_2015_26886,.
1.0,baseline,quote_2015_26886,let
1.0,baseline,quote_2015_26886,negativity
2.0,baseline,quote_2015_26886,wiz
1.0,baseline,quote_2015_26886,actually
1.0,baseline,quote_2015_26886,apologized
2.0,baseline,quote_2015_26886,","
1.0,baseline,quote_2015_26886,forgiven
1.0,baseline,quote_2015_26956,absolutely
1.0,baseline,quote_2015_26956,dumbfounded
1.0,baseline,quote_2015_26956,read
1.0,baseline,quote_2015_26956,seppelt
1.0,baseline,quote_2015_26956,","
1.0,baseline,quote_2015_28310,necessarily
1.0,baseline,quote_2015_28310,dirty
1.0,baseline,quote_2015_28310,word
1.0,baseline,quote_2015_28310,.
1.0,baseline,quote_2015_29235,specializes
1.0,baseline,quote_2015_29235,conservation
1.0,baseline,quote_2015_29235,frames
4.0,baseline,quote_2015_29235,","
1.0,baseline,quote_2015_29235,gilded
1.0,baseline,quote_2015_29235,objects
1.0,baseline,quote_2015_29235,furniture
1.0,baseline,quote_2015_29235,paintings
1.0,baseline,quote_2015_29235,prints
1.0,baseline,quote_2015_29646,game
3.0,baseline,quote_2015_29646,","
1.0,baseline,quote_2015_29646,unfortunately
1.0,baseline,quote_2015_29646,going
2.0,baseline,quote_2015_29646,spend
1.0,baseline,quote_2015_29646,time
1.0,baseline,quote_2015_29646,injured
1.0,baseline,quote_2015_29646,learn
1.0,baseline,quote_2015_29646,deal
1.0,baseline,quote_2015_29646,lot
1.0,baseline,quote_2015_29646,career
1.0,baseline,quote_2015_29646,frustrated
1.0,baseline,quote_2015_30254,lewis
1.0,baseline,quote_2015_30254,running
3.0,baseline,quote_2015_30254,","
1.0,baseline,quote_2015_30254,great
1.0,baseline,quote_2015_30254,news
1.0,baseline,quote_2015_30254,probably
1.0,baseline,quote_2015_30254,slightly
1.0,baseline,quote_2015_30254,ahead
1.0,baseline,quote_2015_30254,schedule
1.0,baseline,quote_2015_30633,step
1.0,baseline,quote_2015_30633,find
1.0,baseline,quote_2015_30633,understand
1.0,baseline,quote_2015_30633,cause
1.0,baseline,quote_2015_30633,resistance
2.0,baseline,quote_2015_30633,","
1.0,baseline,quote_2015_30633,likely
1.0,baseline,quote_2015_30633,exist
1.0,baseline,quote_2015_30633,pyrethroid
1.0,baseline,quote_2015_30633,insecticides
